country_code,year,n_regions,mean_network,std_network,mean_elec,std_elec,cv_network,cv_elec
PL,2003,15,1264.2666666666667,474.4695484232391,716.5333333333333,433.1634245650854,0.37529230259167823,0.6045265508444624
PL,2024,17,1154.4117647058824,383.01779639194456,718.5882352941177,386.3065587754642,0.3317861166197736,0.537590987162974
FR,2010,25,1180.12,678.0548969908951,620.76,478.8436836101457,0.5745643637857973,0.7713829557480277
DE,1994,9,1451.6666666666667,1230.8317309851905,501.8888888888889,489.80109341559364,0.8478749007934722,0.9759153953376893
NL,2021,12,253.58333333333334,149.24138978260163,188.58333333333334,131.8176828621696,0.5885299629941569,0.6989890385974525
SK,2006,4,914.75,450.2550203310712,394.25,186.4714008456346,0.49221647480849545,0.47297755445944095
RO,1990,8,1418.5,536.4763341871262,460.0,191.98660667571878,0.3781997421128842,0.4173621884254756
CZ,2004,8,1201.625,538.9346468463765,,,0.4485048553803196,
EL,1997,13,199.23076923076923,195.01844094262552,0.0,0.0,0.9788570394803597,
FR,1997,25,1280.28,711.4424033843732,565.72,438.7529221175247,0.5556928198397016,0.77556551318236
NL,2023,12,253.58333333333334,149.24138978260163,188.91666666666666,131.08252663066418,0.5885299629941569,0.6938642785919586
PL,2005,15,1231.7333333333333,438.9909642198421,699.2,409.58065663030794,0.3564009776627859,0.585784691976985
PL,2020,17,1140.1764705882354,377.6021774457409,712.5294117647059,385.28173419704495,0.3311787141607385,0.5407239727028618
EL,1999,13,199.23076923076923,195.01844094262552,6.846153846153846,24.6841587320227,0.9788570394803597,3.60555127546399
CZ,2024,8,1189.25,534.2401145552437,409.625,162.06871338152484,0.4492243973556811,0.395651421132804
EL,2021,13,179.92307692307693,181.12907991193353,56.23076923076923,85.69826315446718,1.0067028810838545,1.5240457195732877
PL,2021,17,1134.5294117647059,375.26542567345894,711.8235294117648,380.57049860934404,0.3307674722066056,0.5346416392330261
FI,2020,4,1479.5,1074.0218805964803,837.25,455.45316261206636,0.7259357084126261,0.543987055971414
PT,2017,5,509.2,314.7271834462349,328.0,242.39224410034245,0.6180816642699036,0.7390007442083611
ES,2005,19,675.7894736842105,705.6271898064531,396.7894736842105,443.4950305305158,1.044152383669985,1.1177086589839236
IT,2002,19,763.421052631579,525.105419658173,509.89473684210526,393.6330630220149,0.6878319871427292,0.7719888725658839
RO,2024,8,1326.375,467.4471513291254,504.0,157.32586745805207,0.3524245792699089,0.3121544989247065
SE,2018,8,1363.125,516.125797926934,1027.0,405.2632301532989,0.3786342396529548,0.3946087927490739
ES,2013,19,838.8421052631579,808.8488571322895,514.1052631578947,547.1713011009789,0.9642444651470385,1.064317641371683
FI,2010,4,1479.75,1074.7968412681532,768.25,410.8579438200021,0.7263367739605698,0.5347971933875719
